Level,MenuLevel1,MenuLevel2,MenuLevel3,MenuLevel4,Menu ID,MenuName,Order Sequence,Type,Sub Type,SecCode,Level1Code,Level2Code,Level3Code
4,Financial Management,Cash Management,General Operations,Payroll Check Entry,PRGO1002,Payroll Check Entry,130,I,E,SEC272,SEC467,SEC1072,SEC272
4,Financial Management,Cash Management,General Operations,Petty Cash Desk Tracker,XAGO4020,Petty Cash Desk Tracker,280,I,T,SEC2353,SEC467,SEC1072,SEC2353
4,Financial Management,Cash Management,General Operations,Petty Cash Entry,XAGO4010,Petty Cash Entry,140,I,E,SEC2352,SEC467,SEC1072,SEC2352
4,Financial Management,Cash Management,General Operations,Recalculate Bank Balances,XAGO4030,Recalculate Bank Balances,190,I,P,SEC1076,SEC467,SEC1072,SEC1076
4,Financial Management,Cash Management,General Operations,Reverse Cash Receipt,ARGO3017,Reverse Cash Receipt,150,I,E,SEC213-001,SEC467,SEC1072,SEC213-001
4,Financial Management,Cash Management,General Operations,Void AP Payment Entry,APGO4040,Void AP Payment Entry,160,I,E,SEC239,SEC467,SEC1072,SEC239
4,Financial Management,Cash Management,General Operations,Void Payroll Check Entry,PRGO2075,Void Payroll Check Entry,170,I,E,SEC278,SEC467,SEC1072,SEC278
3,Financial Management,Cash Management,Reports,,XAMN4040,Reports,30,S,E,SEC1156,SEC467,SEC1072,SEC1156
4,Financial Management,Cash Management,Reports,Check Register,APRP5000,Check Register,3,I,R,SEC241,SEC467,SEC1072,SEC241
4,Financial Management,Cash Management,Reports,Payment Proposal Report,APRP5010,Payment Proposal Report,4,I,R,SEC1104,SEC467,SEC1072,SEC1104
4,Financial Management,Cash Management,Reports,Print Deposit Slips,XARP4051,Print Deposit Slips,5,I,R,SEC003,SEC467,SEC1072,SEC003
4,Financial Management,Cash Management,Reports,Print Petty Cash Day Book,XARP4010,Print Petty Cash Day Book,6,I,R,SEC1156,SEC467,SEC1072,SEC1156
4,Financial Management,Cash Management,Reports,Print Petty Cash Documents,XARP4000,Print Petty Cash Documents,7,I,R,SEC2354,SEC467,SEC1072,SEC2354
3,Financial Management,Cash Management,Setup,,XAMN4020,Setup,10,S,E,SEC1073,SEC467,SEC1072,SEC1073
4,Financial Management,Cash Management,Setup,Bank / Branch Code,ARMT3055,Bank / Branch Code,1,I,M,SEC1038,SEC467,SEC1072,SEC1038
4,Financial Management,Cash Management,Setup,Bank Account,ARMT1025,Bank Account,2,I,M,SEC233,SEC467,SEC1072,SEC233
4,Financial Management,Cash Management,Setup,Bank Fee,ARMT3035,Bank Fee,3,I,M,SEC1151,SEC467,SEC1072,SEC1151
4,Financial Management,Cash Management,Setup,Bank Statement Parsing Parameters,ARMT1040,Bank Statement Parsing Parameters,4,I,M,SEC11181,SEC467,SEC1072,SEC11181
4,Financial Management,Cash Management,Setup,Bank Statement Transaction Codes,ARMT1041,Bank Statement Transaction Codes,5,I,M,SEC11182,SEC467,SEC1072,SEC11182
4,Financial Management,Cash Management,Setup,Legal Number,ARMN3056,Legal Number,6,I,M,SEC582,SEC467,SEC1072,SEC582
4,Financial Management,Cash Management,Setup,Lockbox Layout Entry,ARMT4007,Lockbox Layout Entry,7,I,M,SEC2605,SEC467,SEC1072,SEC2605
4,Financial Management,Cash Management,Setup,Payment Message ID Counter,XAMT3065,Payment Message ID Counter,8,I,M,SEC1073,SEC467,SEC1072,SEC1073
4,Financial Management,Cash Management,Setup,Payment Method,ARMN3058,Payment Method,9,I,M,SEC1102,SEC467,SEC1072,SEC1102
4,Financial Management,Cash Management,Setup,Petty Cash Desk,XAMN4100,Petty Cash Desk,10,I,M,SEC2355,SEC467,SEC1072,SEC2355
4,Financial Management,Cash Management,Setup,Petty Cash Operation Type,XAMN4110,Petty Cash Operation Type,11,I,M,SEC2350,SEC467,SEC1072,SEC2350
4,Financial Management,Cash Management,Setup,Transaction Document Type,ARMN3059,Transaction Document Type,12,I,M,SEC963,SEC467,SEC1072,SEC963
2,Financial Management,Currency Management,,,CMMN0000,Currency Management,30,S,,SEC381,SEC467,SEC381,SEC381
3,Financial Management,Currency Management,General Operations,,CMMN3000,General Operations,30,S,,SEC384,SEC467,SEC381,SEC384
4,Financial Management,Currency Management,General Operations,Currency Revaluation Process,CMMN3010,Currency Revaluation Process,20,I,P,SEC401,SEC467,SEC381,SEC401
4,Financial Management,Currency Management,General Operations,Exchange Rate Entry,CMMN3020,Exchange Rate Entry,10,I,E,SEC1002,SEC467,SEC381,SEC1002
4,Financial Management,Currency Management,General Operations,G/L Currency Revaluation,CMMN3030,G/L Currency Revaluation,30,I,P,SEC1140,SEC467,SEC381,SEC1140
3,Financial Management,Currency Management,Setup,,CMMN1000,Setup,10,S,,SEC382,SEC467,SEC381,SEC382
4,Financial Management,Currency Management,Setup,Currency Master,CMMT1010,Currency Master,10,I,M,SEC383,SEC467,SEC381,SEC383
4,Financial Management,Currency Management,Setup,Rate Type,CMMT1020,Rate Type,20,I,M,SEC951,SEC467,SEC381,SEC951
2,Financial Management,Deferred Revenue Accounting,,,DRVMN000,Deferred Revenue Accounting,37,S,F,SEC3000,SEC467,SEC3000,SEC3000
3,Financial Management,Deferred Revenue Accounting,General Operations,,DRVMN200,General Operations,10,S,F,SEC3003,SEC467,SEC3000,SEC3003
4,Financial Management,Deferred Revenue Accounting,General Operations,AR Invoice Tracker,DRVGO004,AR Invoice Tracker,400,I,T,SEC284,SEC467,SEC3000,SEC284
4,Financial Management,Deferred Revenue Accounting,General Operations,AR Posted Invoice Update,DRVGO003,AR Posted Invoice Update,75,I,E,SEC733,SEC467,SEC3000,SEC733
4,Financial Management,Deferred Revenue Accounting,General Operations,Hold/Unhold Amortization Periods,DRVGO210,Hold/Unhold Amortization Periods,90,I,P,SEC3004,SEC467,SEC3000,SEC3004
4,Financial Management,Deferred Revenue Accounting,General Operations,Revenue Recognition,DRVGO220,Revenue Recognition,100,I,P,SEC3005,SEC467,SEC3000,SEC3005
3,Financial Management,Deferred Revenue Accounting,Reports,,DRVMN300,Reports,30,S,E,SEC3010,SEC467,SEC3000,SEC3010
4,Financial Management,Deferred Revenue Accounting,Reports,DRA Forecast,DRVRP310,DRA Forecast,10,I,R,SEC3012,SEC467,SEC3000,SEC3012
4,Financial Management,Deferred Revenue Accounting,Reports,DRA Reconciliation,DRVRP320,DRA Reconciliation,20,I,R,SEC3014,SEC467,SEC3000,SEC3014
4,Financial Management,Deferred Revenue Accounting,Reports,Sales Analysis,DRVRP002,Sales Analysis,100,I,R,SEC287,SEC467,SEC3000,SEC287
3,Financial Management,Deferred Revenue Accounting,Setup,,DRVMN001,Setup,0,S,F,SEC3002,SEC467,SEC3000,SEC3002
4,Financial Management,Deferred Revenue Accounting,Setup,Amortization Code,DRVMT001,Amortization Code,100,I,M,SEC3001,SEC467,SEC3000,SEC3001
4,Financial Management,Deferred Revenue Accounting,Setup,Business Category,DRVMT120,Business Category,3,I,M,SEC11201,SEC467,SEC3000,SEC11201
4,Financial Management,Deferred Revenue Accounting,Setup,Customer,DRVMT000,Customer,5,I,M,SEC154,SEC467,SEC3000,SEC154
4,Financial Management,Deferred Revenue Accounting,Setup,Fiscal Calendar,DRMT0002,Fiscal Calendar,15,I,M,SEC244,SEC467,SEC3000,SEC244
4,Financial Management,Deferred Revenue Accounting,Setup,Product Group,DRVMT004,Product Group,30,I,M,SEC158,SEC467,SEC3000,SEC158
4,Financial Management,Deferred Revenue Accounting,Setup,Reason Code,DRVMT005,Reason Code,90,I,M,SEC190,SEC467,SEC3000,SEC190
4,Financial Management,Deferred Revenue Accounting,Setup,Reclassification Code,DRVMT006,Reclassification Code,95,I,M,SEC3454,SEC467,SEC3000,SEC3454
2,Financial Management,External Payroll Integration,,,EPRMN000,External Payroll Integration,70,S,,SEC060,SEC467,SEC060,SEC060
3,Financial Management,External Payroll Integration,General Operations,,EPRMN200,General Operations,20,S,,SEC060,SEC467,SEC060,SEC060
4,Financial Management,External Payroll Integration,General Operations,Payroll Processing,EPRGO10,Payroll Processing,10,I,E,SEC06110,SEC467,SEC060,SEC06110
3,Financial Management,External Payroll Integration,Setup,,EPRMN100,Setup,10,S,,SEC060,SEC467,SEC060,SEC060
4,Financial Management,External Payroll Integration,Setup,Employee Information,EPRMT070,Employee Information,10,I,M,SEC179,SEC467,SEC060,SEC179
4,Financial Management,External Payroll Integration,Setup,Export File Layout Configuration,EPRMT060,Export File Layout Configuration,20,I,E,SEC06060,SEC467,SEC060,SEC06060
4,Financial Management,External Payroll Integration,Setup,Holiday Maintenance,EPRMT020,Holiday Maintenance,30,I,E,SEC06020,SEC467,SEC060,SEC06020
4,Financial Management,External Payroll Integration,Setup,Pay Type Maintenance,EPRMT040,Pay Type Maintenance,40,I,E,SEC06040,SEC467,SEC060,SEC06040
4,Financial Management,External Payroll Integration,Setup,Payroll Class Maintenance,EPRMT030,Payroll Class Maintenance,50,I,E,SEC06030,SEC467,SEC060,SEC06030
4,Financial Management,External Payroll Integration,Setup,Payroll Employee Maintenance,EPRMT050,Payroll Employee Maintenance,60,I,E,SEC06050,SEC467,SEC060,SEC06050
2,Financial Management,General Ledger,,,GLMN0000,General Ledger,40,S,,SEC033,SEC467,SEC033,SEC033
3,Financial Management,General Ledger,General Operations,,GLMN3000,General Operations,30,S,,SEC249,SEC467,SEC033,SEC249
4,Financial Management,General Ledger,General Operations,Allocation History Tracker,GLMN1211,Allocation History Tracker,300,I,T,SEC1202,SEC467,SEC033,SEC1202
4,Financial Management,General Ledger,General Operations,Apply Recurring Journals,GLGO1201,Apply Recurring Journals,325,I,P,SEC1008,SEC467,SEC033,SEC1008
4,Financial Management,General Ledger,General Operations,Automatic Transaction Reversal,GLGO1015,Automatic Transaction Reversal,5,I,E,SEC2501,SEC467,SEC033,SEC2501
4,Financial Management,General Ledger,General Operations,Capture COS/WIP Activity,GLGO9750,Capture COS/WIP Activity,326,I,P,SEC373,SEC467,SEC033,SEC373
4,Financial Management,General Ledger,General Operations,Chart Tracker,GLGO2010,Chart Tracker,310,I,T,SEC430,SEC467,SEC033,SEC430
4,Financial Management,General Ledger,General Operations,Close Fiscal Period/Year,GLGO1150,Close Fiscal Period/Year,10,I,E,SEC255,SEC467,SEC033,SEC255
4,Financial Management,General Ledger,General Operations,Deferred Expense Recognition,GLMN1400,Deferred Expense Recognition,327,I,P,SEC2310,SEC467,SEC033,SEC2310
4,Financial Management,General Ledger,General Operations,Earliest Apply Date,GLGO1290,Earliest Apply Date,20,I,E,SEC1003,SEC467,SEC033,SEC1003
4,Financial Management,General Ledger,General Operations,General Ledger Import,GLGO8888,General Ledger Import,330,I,P,SEC2492,SEC467,SEC033,SEC2492
4,Financial Management,General Ledger,General Operations,Generate Allocations,GLGO9743,Generate Allocations,335,I,P,SEC9875,SEC467,SEC033,SEC9875
4,Financial Management,General Ledger,General Operations,GL Batch Balances,GLGO8833,GL Batch Balances,340,I,P,SEC9876,SEC467,SEC033,SEC9876
4,Financial Management,General Ledger,General Operations,GL Export,GLGO1016,GL Export,395,I,P,SEC2012,SEC467,SEC033,SEC2012
4,Financial Management,General Ledger,General Operations,GL Transaction Matching,GLGO2112,GL Transaction Matching,50,I,E,SEC1369,SEC467,SEC033,SEC1369
4,Financial Management,General Ledger,General Operations,Journal Detail Tracker,GLMN3901,Journal Detail Tracker,315,I,T,SEC2494,SEC467,SEC033,SEC2494
4,Financial Management,General Ledger,General Operations,Journal Entry,GLGO1010,Journal Entry,100,I,E,SEC250,SEC467,SEC033,SEC250
4,Financial Management,General Ledger,General Operations,Journal Tracker,GLGO2030,Journal Tracker,320,I,T,SEC431,SEC467,SEC033,SEC431
4,Financial Management,General Ledger,General Operations,PE Log Viewer,GLMN1220,PE Log Viewer,118,I,E,SEC95700,SEC467,SEC033,SEC95700
4,Financial Management,General Ledger,General Operations,Rebuild Display GL Account,GLGO1199,Rebuild Display GL Account,360,I,P,SEC2000,SEC467,SEC033,SEC2000
4,Financial Management,General Ledger,General Operations,Review Journal,GLMN1210,Review Journal,117,I,E,SEC957,SEC467,SEC033,SEC957
4,Financial Management,General Ledger,General Operations,Transfer Opening Balances to Next Year,GLGO1200,Transfer Opening Balances to Next Year,370,I,P,SEC1004,SEC467,SEC033,SEC1004
4,Financial Management,General Ledger,General Operations,Update Business Entity Segment Values,GLGO1198,Update Business Entity Segment Values,380,I,P,SEC1117,SEC467,SEC033,SEC1117
4,Financial Management,General Ledger,General Operations,Verify Balances,GLGO1197,Verify Balances,390,I,P,SEC2001,SEC467,SEC033,SEC2001
4,Financial Management,General Ledger,General Operations,Void Pre Numbered Forms,GLGO1202,Void Pre Numbered Forms,125,I,E,SEC2013,SEC467,SEC033,SEC2013
3,Financial Management,General Ledger,Reports,,GLMN4000,Reports,40,S,,SEC253,SEC467,SEC033,SEC253
4,Financial Management,General Ledger,Reports,Annual Total Journal Report,GLRP4095,Annual Total Journal Report,1,I,R,SEC1559,SEC467,SEC033,SEC1559
4,Financial Management,General Ledger,Reports,Book Listing,GLRP4040,Book Listing,2,I,R,SEC950,SEC467,SEC033,SEC950
4,Financial Management,General Ledger,Reports,Booking Voucher,GLRP4041,Booking Voucher,3,I,R,SEC253003,SEC467,SEC033,SEC253003
4,Financial Management,General Ledger,Reports,Booking Voucher FC,GLRP4042,Booking Voucher FC,4,I,R,SEC258,SEC467,SEC033,SEC258
4,Financial Management,General Ledger,Reports,Chart of Accounts Listing,GLRP4005,Chart of Accounts Listing,5,I,R,SEC243,SEC467,SEC033,SEC243
4,Financial Management,General Ledger,Reports,Currency Account Report,GLRP4079,Currency Account Report,10,I,R,SEC2008,SEC467,SEC033,SEC2008
4,Financial Management,General Ledger,Reports,Deferred Expense Reconciliation,GLRP4081,Deferred Expense Reconciliation,11,I,R,SEC14081,SEC467,SEC033,SEC14081
4,Financial Management,General Ledger,Reports,Financial Reports,GLRP4015,Financial Reports,15,I,R,SEC349,SEC467,SEC033,SEC349
4,Financial Management,General Ledger,Reports,General Ledger,GLRP4030,General Ledger,20,I,R,SEC254,SEC467,SEC033,SEC254
4,Financial Management,General Ledger,Reports,General Ledger Account Summary,GLRP4080,General Ledger Account Summary,22,I,R,SEC2541,SEC467,SEC033,SEC2541
4,Financial Management,General Ledger,Reports,General Ledger Segment Report,GLRP4050,General Ledger Segment Report,24,I,R,SEC728,SEC467,SEC033,SEC728
4,Financial Management,General Ledger,Reports,Journal Listing,GLRP4020,Journal Listing,30,I,R,SEC260,SEC467,SEC033,SEC260
4,Financial Management,General Ledger,Reports,Legal Number Change History,GLRP0212,Legal Number Change History,32,I,R,GLRP0212,SEC467,SEC033,GLRP0212
4,Financial Management,General Ledger,Reports,Legal Number History,GLRP3080,Legal Number History,38,I,R,SEC3080,SEC467,SEC033,SEC3080
4,Financial Management,General Ledger,Reports,Legal Number Report,GLRP2555,Legal Number Report,39,I,R,SEC985,SEC467,SEC033,SEC985
4,Financial Management,General Ledger,Reports,Structured Trial Balance,GLRP90,Structured Trial Balance,56,I,R,SEC2531,SEC467,SEC033,SEC2531
4,Financial Management,General Ledger,Reports,Tax GL Reconciliation Report,GLRP5220,Tax GL Reconciliation Report,58,Q,R,SEC3591,SEC467,SEC033,SEC3591
4,Financial Management,General Ledger,Reports,Trial Balance,GLRP4070,Trial Balance,57,I,R,SEC1923,SEC467,SEC033,SEC1923
4,Financial Management,General Ledger,Reports,Voided Legal Numbers,GLRP4060,Voided Legal Numbers,60,I,R,SEC1042,SEC467,SEC033,SEC1042
3,Financial Management,General Ledger,Setup,,GLMN1000,Setup,10,S,,SEC251,SEC467,SEC033,SEC251
4,Financial Management,General Ledger,Setup,Account Budget,GLMT1010,Account Budget,20,I,M,SEC252,SEC467,SEC033,SEC252
4,Financial Management,General Ledger,Setup,Account Entry Restricted Functions,GLMN8778,Account Entry Restricted Functions,30,I,M,SEC2006,SEC467,SEC033,SEC2006
4,Financial Management,General Ledger,Setup,Account Segment Values,GLMT1018,Account Segment Values,40,I,M,SEC715,SEC467,SEC033,SEC715
4,Financial Management,General Ledger,Setup,Accounting Segment Mapping,GLMT1210,Accounting Segment Mapping,50,I,M,SEC952,SEC467,SEC033,SEC952
4,Financial Management,General Ledger,Setup,Allocation Batch,GLMT2514,Allocation Batch,60,I,M,SEC2514,SEC467,SEC033,SEC2514
4,Financial Management,General Ledger,Setup,Allocation Code,GLMT1006,Allocation Code,70,I,M,SEC2517,SEC467,SEC033,SEC2517
4,Financial Management,General Ledger,Setup,Amortization Code,GLMT1240,Amortization Code,5,I,M,SEC2301,SEC467,SEC033,SEC2301
4,Financial Management,General Ledger,Setup,Book,GLMT1100,Book,80,I,M,SEC949,SEC467,SEC033,SEC949
4,Financial Management,General Ledger,Setup,Budget Code,GLMT2030,Budget Code,90,I,M,SEC151693,SEC467,SEC033,SEC151693
4,Financial Management,General Ledger,Setup,Chart of Accounts,GLMT1022,Chart of Accounts,100,I,M,SEC157,SEC467,SEC033,SEC157
4,Financial Management,General Ledger,Setup,COA Category,GLMT1015,COA Category,110,I,M,SEC315,SEC467,SEC033,SEC315
4,Financial Management,General Ledger,Setup,COA Export,GLGO2310,COA Export,252,I,P,SEC31502,SEC467,SEC033,SEC31502
4,Financial Management,General Ledger,Setup,COA Import,GLGO2300,COA Import,253,I,P,SEC31501,SEC467,SEC033,SEC31501
4,Financial Management,General Ledger,Setup,Daily Balances Setup,GLMT1065,Daily Balances Setup,120,I,M,SEC604,SEC467,SEC033,SEC604
4,Financial Management,General Ledger,Setup,External Financial Analysis Code,GLMN1060,External Financial Analysis Code,125,I,M,SEC2029,SEC467,SEC033,SEC2029
4,Financial Management,General Ledger,Setup,Financial Report Designer,GLMT1058,Financial Report Designer,130,I,M,SEC348,SEC467,SEC033,SEC348
4,Financial Management,General Ledger,Setup,Fiscal Calendar,GLMT1050,Fiscal Calendar,140,I,M,SEC244,SEC467,SEC033,SEC244
4,Financial Management,General Ledger,Setup,General Ledger Account,GLMN1080,General Ledger Account,150,I,M,SEC956,SEC467,SEC033,SEC956
4,Financial Management,General Ledger,Setup,GL Account Allocation Template,GLMT1005,GL Account Allocation Template,10,I,M,SEC387,SEC467,SEC033,SEC387
4,Financial Management,General Ledger,Setup,GL COA Reference Type,GLMT1060,GL COA Reference Type,160,I,M,SEC578,SEC467,SEC033,SEC578
4,Financial Management,General Ledger,Setup,GL Control Code,GLMT1230,GL Control Code,170,I,M,SEC955,SEC467,SEC033,SEC955
4,Financial Management,General Ledger,Setup,GL Control Type,GLMT1090,GL Control Type,180,I,M,SEC948,SEC467,SEC033,SEC948
4,Financial Management,General Ledger,Setup,GL Transaction Type,GLMT1200,GL Transaction Type,190,I,M,SEC953,SEC467,SEC033,SEC953
4,Financial Management,General Ledger,Setup,Journal Code,GLMT1031,Journal Code,200,I,M,SEC428,SEC467,SEC033,SEC428
4,Financial Management,General Ledger,Setup,Legal Number,GLMT1140,Legal Number,210,I,M,SEC582,SEC467,SEC033,SEC582
4,Financial Management,General Ledger,Setup,Lookup Tables,GLMT1220,Lookup Tables,220,I,M,SEC954,SEC467,SEC033,SEC954
4,Financial Management,General Ledger,Setup,Natural Account Mass Update,GLMT1075,Natural Account Mass Update,255,I,P,SEC876,SEC467,SEC033,SEC876
4,Financial Management,General Ledger,Setup,Purge General Ledger History,GLMT1070,Purge General Ledger History,260,I,P,SEC259,SEC467,SEC033,SEC259
4,Financial Management,General Ledger,Setup,Recurring Journal,GLMT1055,Recurring Journal,230,I,M,SEC310,SEC467,SEC033,SEC310
4,Financial Management,General Ledger,Setup,Self Balancing Segment,GLMN7632,Self Balancing Segment,240,I,M,SEC2007,SEC467,SEC033,SEC2007
4,Financial Management,General Ledger,Setup,Statistical GL UOM,GLMT1072,Statistical GL UOM,245,I,M,SEC251-300,SEC467,SEC033,SEC251-300
4,Financial Management,General Ledger,Setup,Transaction Document Type,GLMN1250,Transaction Document Type,250,I,M,SEC963,SEC467,SEC033,SEC963
2,Financial Management,Multi-Site,,,MSMN0000,Multi-Site,50,S,,SEC474,SEC467,SEC474,SEC474
3,Financial Management,Multi-Site,General Operations,,MSMN2000,General Operations,20,S,,SEC478,SEC467,SEC474,SEC478
4,Financial Management,Multi-Site,General Operations,Automatic Transaction Reversal,MSGO2070,Automatic Transaction Reversal,50,I,E,SEC2501,SEC467,SEC474,SEC2501
4,Financial Management,Multi-Site,General Operations,Chart Tracker,MSGO2050,Chart Tracker,60,I,T,SEC430,SEC467,SEC474,SEC430
4,Financial Management,Multi-Site,General Operations,Consolidate to Parent,MSGO2010,Consolidate to Parent,10,I,E,SEC479,SEC467,SEC474,SEC479
4,Financial Management,Multi-Site,General Operations,Consolidated Year End,msg02015,Consolidated Year End,15,I,P,SEC4790,SEC467,SEC474,SEC4790
4,Financial Management,Multi-Site,General Operations,Consolidation Monitor,MSGO2080,Consolidation Monitor,80,I,E,SEC2080,SEC467,SEC474,SEC2080
4,Financial Management,Multi-Site,General Operations,Import Consolidation From Subsidiary,MSGO2020,Import Consolidation From Subsidiary,20,I,E,SEC480,SEC467,SEC474,SEC480
4,Financial Management,Multi-Site,General Operations,Journal Entry,MSGO2030,Journal Entry,40,I,E,SEC250,SEC467,SEC474,SEC250
4,Financial Management,Multi-Site,General Operations,Journal Tracker,MSGO2060,Journal Tracker,70,I,T,SEC431,SEC467,SEC474,SEC431
3,Financial Management,Multi-Site,Reports,,MSMN3000,Reports,30,S,,SEC481,SEC467,SEC474,SEC481
4,Financial Management,Multi-Site,Reports,Chart of Accounts Listing,MSRP3010,Chart of Accounts Listing,10,A,R,SEC243,SEC467,SEC474,SEC243
4,Financial Management,Multi-Site,Reports,Consolidation Report,MSRP8742,Consolidation Report,15,I,R,SEC8822,SEC467,SEC474,SEC8822
4,Financial Management,Multi-Site,Reports,Financial Reports,MSRP3020,Financial Reports,20,I,R,SEC349,SEC467,SEC474,SEC349
4,Financial Management,Multi-Site,Reports,Import Log Listing,MSRP3050,Import Log Listing,35,I,R,SEC483,SEC467,SEC474,SEC483
4,Financial Management,Multi-Site,Reports,Journal Listing,MSRP3040,Journal Listing,40,I,R,SEC260,SEC467,SEC474,SEC260
3,Financial Management,Multi-Site,Setup,,MSMN1000,Setup,10,S,,SEC473,SEC467,SEC474,SEC473
4,Financial Management,Multi-Site,Setup,Accounting Segment Mapping,MSMN1015,Accounting Segment Mapping,15,I,M,SEC952,SEC467,SEC474,SEC952
4,Financial Management,Multi-Site,Setup,Book,MSMN1020,Book,20,I,M,SEC949,SEC467,SEC474,SEC949
4,Financial Management,Multi-Site,Setup,Business Category,MSMN1200,Business Category,25,I,M,SEC11201,SEC467,SEC474,SEC11201
4,Financial Management,Multi-Site,Setup,Chart of Accounts,MSMN1030,Chart of Accounts,30,I,M,SEC157,SEC467,SEC474,SEC157
4,Financial Management,Multi-Site,Setup,Consolidation Definition,MSMN1040,Consolidation Definition,40,I,M,SEC476,SEC467,SEC474,SEC476
4,Financial Management,Multi-Site,Setup,Consolidation Rate Type,MSMN1045,Consolidation Rate Type,45,I,M,SEC781,SEC467,SEC474,SEC781
4,Financial Management,Multi-Site,Setup,Consolidation Type,MSMN1050,Consolidation Type,50,I,M,SEC752,SEC467,SEC474,SEC752
4,Financial Management,Multi-Site,Setup,Customer,MSMN1060,Customer,60,I,M,SEC154,SEC467,SEC474,SEC154
4,Financial Management,Multi-Site,Setup,Financial Report Designer,MSMN1070,Financial Report Designer,70,I,M,SEC348,SEC467,SEC474,SEC348
4,Financial Management,Multi-Site,Setup,Site Maintenance,MSMN1090,Site Maintenance,80,I,M,SEC452,SEC467,SEC474,SEC452
4,Financial Management,Multi-Site,Setup,Supplier,MSMN1080,Supplier,90,I,M,SEC115,SEC467,SEC474,SEC115
2,Financial Management,Payroll,,,PRMN0000,Payroll,60,S,,SEC059,SEC467,SEC059,SEC059
3,Financial Management,Payroll,General Operations,,PRMN2000,General Operations,20,S,,SEC271,SEC467,SEC059,SEC271
4,Financial Management,Payroll,General Operations,Payroll Check Entry,PRGO1000,Payroll Check Entry,1,I,E,SEC272,SEC467,SEC059,SEC272
4,Financial Management,Payroll,General Operations,Payroll Employee Tracker,PRGO2099,Payroll Employee Tracker,900,I,T,SEC276,SEC467,SEC059,SEC276
4,Financial Management,Payroll,General Operations,Void Check Entry,PRGO2080,Void Check Entry,20,I,E,SEC278,SEC467,SEC059,SEC278
4,Financial Management,Payroll,General Operations,W2 Processing,PRGO2090,W2 Processing,90,I,P,SEC280,SEC467,SEC059,SEC280
3,Financial Management,Payroll,Reports,,PRMN3000,Reports,30,S,,SEC273,SEC467,SEC059,SEC273
4,Financial Management,Payroll,Reports,Deduction Report,PRRP3040,Deduction Report,10,I,R,SEC283,SEC467,SEC059,SEC283
4,Financial Management,Payroll,Reports,Earnings,PRRP3000,Earnings,20,I,R,SEC282,SEC467,SEC059,SEC282
4,Financial Management,Payroll,Reports,Employee Expense,PRRP3050,Employee Expense,30,I,R,SEC1470,SEC467,SEC059,SEC1470
4,Financial Management,Payroll,Reports,Employee Listing,PRRP3015,Employee Listing,40,I,R,SEC416,SEC467,SEC059,SEC416
4,Financial Management,Payroll,Reports,G/L Distribution,PRRP3900,G/L Distribution,50,I,R,SEC229,SEC467,SEC059,SEC229
4,Financial Management,Payroll,Reports,Quarterly Tax,PRRP3005,Quarterly Tax,60,I,R,SEC279,SEC467,SEC059,SEC279
4,Financial Management,Payroll,Reports,Workers' Compensation Report,PRRP3010,Workers' Compensation Report,100,I,R,SEC274,SEC467,SEC059,SEC274
3,Financial Management,Payroll,Setup,,PRMN1000,Setup,10,S,,SEC291,SEC467,SEC059,SEC291
4,Financial Management,Payroll,Setup,Bank Account,PRMT1090,Bank Account,10,I,M,SEC233,SEC467,SEC059,SEC233
4,Financial Management,Payroll,Setup,Chart of Accounts,PRMT1008,Chart of Accounts,20,I,M,SEC157,SEC467,SEC059,SEC157
4,Financial Management,Payroll,Setup,Deduction,PRMT1020,Deduction,30,I,M,SEC263,SEC467,SEC059,SEC263
4,Financial Management,Payroll,Setup,Electronic Interface,PRMT2030,Electronic Interface,35,I,E,SEC1101,SEC467,SEC059,SEC1101
4,Financial Management,Payroll,Setup,Employee YTD Load,PRMT1990,Employee YTD Load,40,I,M,SEC277,SEC467,SEC059,SEC277
4,Financial Management,Payroll,Setup,Fiscal Calendar,PRMT0027,Fiscal Calendar,50,I,M,SEC244,SEC467,SEC059,SEC244
4,Financial Management,Payroll,Setup,Holiday,PRMT1070,Holiday,60,I,M,SEC269,SEC467,SEC059,SEC269
4,Financial Management,Payroll,Setup,Image Category,PRMT2010,Image Category,64,I,M,SEC1502,SEC467,SEC059,SEC1502
4,Financial Management,Payroll,Setup,Image Maintenance,PRMT2020,Image Maintenance,66,I,M,SEC1172,SEC467,SEC059,SEC1172
4,Financial Management,Payroll,Setup,Pay Type,PRMT1040,Pay Type,70,I,M,SEC267,SEC467,SEC059,SEC267
4,Financial Management,Payroll,Setup,Payroll Class,PRMT1050,Payroll Class,80,I,M,SEC266,SEC467,SEC059,SEC266
4,Financial Management,Payroll,Setup,Payroll Employee,PRMT1005,Payroll Employee,90,I,M,SEC270,SEC467,SEC059,SEC270
4,Financial Management,Payroll,Setup,Payroll Manager,PRMT1099,Payroll Manager,100,I,M,SEC275,SEC467,SEC059,SEC275
4,Financial Management,Payroll,Setup,Shift,PRMT1030,Shift,110,I,M,SEC034,SEC467,SEC059,SEC034
4,Financial Management,Payroll,Setup,Tax,PRMT1010,Tax,120,I,M,SEC264,SEC467,SEC059,SEC264
4,Financial Management,Payroll,Setup,Workers' Compensation,PRMT1060,Workers' Compensation,130,I,M,SEC265,SEC467,SEC059,SEC265
2,Financial Management,"Rebates, Promotions and Royalties",,,RPMN0000,"Rebates, Promotions and Royalties",80,S,E,SEC853,SEC467,SEC853,SEC853
